"replicate","median_correlation"
1,0.0899060125144837
2,0.0591238905271347
3,0.120214990982604
4,0.155340389032253
5,0.0309875505804189
6,0.00610446760043021
7,-0.057990926103176
8,0.0613091648332655
9,0.20070326541565
10,-0.015829536756883
11,0.0117137535371195
12,0.128048814669865
13,0.23954805895943
14,0.0906446114501035
15,0.265409884521587
16,0.21687101499837
17,0.0107435793784616
18,0.0835020670628967
19,0.119416076738867
20,0.0348117423796749
21,0.145178233356069
22,0.0391957580707924
23,0.0716796049647991
24,0.0182918697864814
25,0.209421074411319
26,0.011187945910347
27,0.155241209794482
28,0.115849499366828
29,0.091922911224258
30,-0.0337344113890407
31,-0.0120729938439724
32,0.0991168081388905
33,-0.00186221457404605
34,-0.0105677175798632
35,0.166004574962105
36,0.082442845164682
37,0.244258393962572
38,0.0044799245381205
39,0.00900441470820996
40,0.0158819293281956
41,0.00126684983358718
42,0.0668004149383919
43,-0.0832571715923199
44,0.26622994620836
45,0.0773838084320454
46,-0.078734767005768
47,0.137288040907911
48,0.151369242445628
49,0.0383941620522875
50,0.224703694488592
51,0.185708308552324
52,0.13005407551
53,0.171743756036709
54,-0.0269308489273432
55,-0.0223986462733344
56,0.0631825101523059
57,0.177370626079357
58,0.104477493584999
59,0.0317914423210977
60,0.137922826419922
61,0.10069570666014
62,0.139366932915408
63,-0.0338057356116147
64,0.0481631441246425
65,0.151998344491549
66,0.0353479777291457
67,0.0883944911824673
68,0.0782489172271007
69,0.0289050829172179
70,-0.0384774518040277
71,0.0710447334190185
72,0.0750788459120352
73,-0.0234216529554363
74,0.169028940847972
75,-0.00928869158575744
76,0.14673047346575
77,0.0714663314745447
78,0.0386289448775841
79,0.141047962510496
80,0.171015304039666
81,0.131257498903009
82,0.0765448664187979
83,0.0217334768770595
84,0.128206490359599
85,0.081758938984152
86,0.189655165669253
87,0.103145334872036
88,-0.0105127060446771
89,-0.156277363586485
90,0.0147550811832673
91,0.0968587899563564
92,0.0655859165709392
93,0.0844314927331755
94,0.154541424390831
95,0.204333250742955
96,0.112359713741977
97,-0.00532209010097331
98,0.177656410100829
99,0.067753046134945
100,-0.127212906342697
101,0.14214235837129
102,0.151417871663916
103,0.222264779473428
104,-0.0525910675128434
105,0.200789833067527
106,-0.124507864588552
107,0.0556084056778168
108,0.235660055330663
109,-0.0277714956978136
110,-0.0657005140409157
111,-0.0015029971784024
112,0.0749202633807398
113,0.263084066588139
114,0.08850146239106
115,0.0663463241643145
116,-0.00671091422366946
117,0.104730153929996
118,0.0254614917274453
119,-0.119063214274549
120,-0.0138351122828429
121,0.0214722127229741
122,0.256567894256082
123,0.162716162382886
124,0.183634653293668
125,0.145857344853034
126,0.0308579985180599
127,0.142743899493805
128,-0.0522141713233338
129,0.148323193980223
130,0.0776450285646021
131,0.036449067040082
132,0.0597392794964142
133,0.109327223110521
134,0.159549611685959
135,0.162846733979035
136,0.171723598955572
137,0.139290343862367
138,0.171355020440619
139,0.0260077887943517
140,0.00546162010690947
141,-0.217434586287636
142,-0.0450560921353678
143,0.0333720828342337
144,0.201841166145634
145,0.139825776779289
146,0.105504920607813
147,0.251653115080516
148,0.075660243456566
149,-0.0578631449714757
150,0.0779628638572866
151,0.178187947751783
152,0.0193745937988249
153,0.0876495027737458
154,0.222501569881421
155,0.0812264015584365
156,0.0328432940425211
157,0.101408666493218
158,0.0312046653344796
159,0.176281973418484
160,0.106248544034281
161,0.0163484104720076
162,-0.106968798570696
163,0.132035473412128
164,0.0687588954903082
165,-0.145081210715568
166,-0.0108752273916615
167,0.0927260557084561
168,0.197603604289406
169,0.124835520638654
170,0.0279033597716673
171,0.0948138038979897
172,-0.0959539087631526
173,0.16865808838356
174,0.104139711264176
175,0.0413707134363236
176,0.0214538662789451
177,0.171476813574227
178,0.0993306941332649
179,0.144641541448267
180,0.282948235286688
181,-0.132990691113002
182,0.0741801800043006
183,0.166132834260691
184,-0.000363341406007488
185,0.138463781643649
186,0.0944179589933991
187,0.278958062547705
188,0.216413096932151
189,0.00862839454835328
190,-0.0837191799379989
191,0.0313735020961606
192,0.142687357631425
193,0.161345360419039
194,-0.218700808873169
195,0.00973798652957435
196,0.170756913312437
197,0.0225142973142035
198,0.0234131806915706
199,-0.0521259670790302
200,0.140331088506279
201,0.191428775838038
202,-0.117679462808318
203,0.0465284775363453
204,0.0385434678613614
205,-0.0496431933842647
206,0.1897272570219
207,0.146583337441874
208,-0.224723431317832
209,0.051730672382161
210,0.231886216740294
211,0.155352700176679
212,0.0523263592031935
213,0.120034736567526
214,0.0676026104701724
215,0.0699674685491272
216,0.241517912138688
217,0.00599290513948174
218,0.0538924929814758
219,0.112255072274513
220,0.147420425352702
221,0.0404931133718865
222,-0.0109246956220724
223,0.0959016614878197
224,0.186119122104335
225,0.140976293172928
226,-0.0831294940470559
227,-0.185770884787676
228,0.169439168199775
229,0.121719120154497
230,0.102638600651747
231,0.0261017925982261
232,0.0948804193190694
233,0.265117664465294
234,0.0171081488852514
235,0.146490672612099
236,-0.0819630982463009
237,-0.0925460858483271
238,-0.0811939878206548
239,-0.14311543337368
240,0.230643705680698
241,0.216755781851037
242,0.0540549988369564
243,0.155109400746763
244,0.158044293272925
245,0.202679558410771
246,-0.0794888535448328
247,0.13252135498697
248,0.192419142400089
249,0.03379545473257
250,0.0516029895493349
251,-0.050338308365418
252,-0.0972047031999163
253,0.195797084284024
254,0.11667191434
255,0.474999797589604
256,0.074437562393765
257,0.00113546908505417
258,0.215397051421439
259,0.0609807725247986
260,0.257492669177035
261,0.235717844287636
262,-0.0594059993903068
263,0.0902280974229802
264,-0.101869080081018
265,-0.120081087318264
266,0.103524745286082
267,0.206875790784772
268,0.0723011102543401
269,-0.0775963491475544
270,0.135475236506515
271,-0.0550107023342154
272,0.115863994940009
273,0.00357176749184266
274,-0.109681194420986
275,-0.0652527754330414
276,0.123729521269737
277,0.117330592414278
278,0.249997498838662
279,0.158417485569665
280,-0.106703171142245
281,0.130310723406729
282,0.218117608735159
283,-0.210200824302983
284,0.0284342997749781
285,0.0646888379221744
286,0.0601391255558768
287,0.11537877464242
288,-0.0705960079605561
289,0.00840698023832062
290,0.074629591552562
291,-0.0261172952381666
292,0.166333976178104
293,0.331532628515763
294,0.0792020064705313
295,0.104119040081584
296,-0.0302370370687219
297,0.189015884706243
298,0.105253459883547
299,0.0151273671973249
300,0.0379465176001166
301,0.137408578962149
302,0.158367560533506
303,-0.172885815904385
304,-0.021282204056803
305,0.168900033173787
306,-0.128262434514371
307,0.0689959261396085
308,0.0062700417901042
309,0.0297164917503794
310,0.0860325808193352
311,0.104017320944448
312,-0.0650270209537732
313,0.120467017177329
314,-0.0537925126268969
315,0.210335014628834
316,0.270335548023209
317,0.105555961271617
318,0.103081616465002
319,0.17471716680117
320,0.0558349513972203
321,0.108748126677005
322,0.167989015241916
323,0.14611152562108
324,0.0313069566729558
325,-0.0565964136482702
326,0.0462003883257612
327,0.0315390908713388
328,0.0825612595109019
329,0.0875523971918744
330,0.0521398613954621
331,0.272122403244598
332,0.227273780584146
333,0.0709585422514399
334,0.0265979492172143
335,0.114293434018754
336,0.197047977150033
337,0.0594297841662714
338,0.172574370835305
339,0.0984817521689683
340,-0.0880157440753765
341,0.175890989145781
342,-0.00206892889525866
343,0.0598246119408677
344,0.0162345719074064
345,-0.01885058193581
346,0.329736532700701
347,0.243341930670918
348,0.134421165483426
349,0.0589449899787615
350,0.147070539230717
351,0.0934075474053609
352,0.0664648918951121
353,-0.233302246521596
354,0.104305314586797
355,0.114608072266669
